"Name","m/z","RT [min]","HMDB","KEGG","Super_Class","Class","Sub_Class","log2FC_Processing_1","log2FC_Processing_2","log2FC_Processing_3","log2FC_Processing_4","PC1","PC2","Strength_PC1_PC2","Rank_Strength"
"5-hydroxy-10-methoxy-2,6b,9,9,12a-pentamethyl-1-methylidene-2,3,4,5,6,7,8,8a,10,11,12,12b,13,14b-tetradecahydropicene-4a,6a-dicarboxylic acid",513.32141,8.484,"","","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA,NA,-0.0317318124268868,-0.0088500483095294,0.0329428486165986,938
"Isariotin F",412.19156,8.735,"","","Organoheterocyclic compounds","Benzopyrans","",NA,NA,NA,NA,0.0327389026474519,0.00334080453153361,0.0329089155317711,939
"Isatropolone C",473.14667,5.078,"","","Organoheterocyclic compounds","Cycloheptapyrans","",NA,NA,NA,NA,0.0289547973715681,0.0155949525682889,0.0328874267226207,940
"2-hydroxy-2-methoxy-1-phenylethanone",167.07336,0.581,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,0.0303729196051166,0.0124683202298321,0.0328325030220438,941
"Triethylene glycol",151.09639,1.259,"HMDB0259193","","Organic oxygen compounds","Organooxygen compounds","Ethers",NA,NA,NA,NA,0.016734648435902,0.028209317470592,0.0327996044248994,942
"2-Ethylcyclohexanone",127.1116,4.515,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,0.00501673292526947,0.0323793650796303,0.0327656968826159,943
"2-carene-8-acetamide",194.15353,5.881,"","","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids",NA,NA,NA,NA,-0.00264979420548718,-0.0326328494983263,0.0327402546677915,944
"Chaetoglobosin K",555.27972,9.253,"","","Benzenoids","Phenols","Methoxyphenols",NA,NA,NA,NA,-0.028252219766461,0.0165063831966952,0.0327207672276882,945
"5,12-octadecadiynoic acid",277.216,7.423,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0306805028405208,-0.0113355456173816,0.0327076114840406,946
"8-[3-oxo-2-[(E)-pent-2-enyl]cyclopenten-1-yl]octanoic acid",293.21039,5.048,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.00238792119394461,-0.0325797632849455,0.0326671569520761,947
"Neoruscogenin",429.29892,7.175,"","","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA,NA,-0.0170994844403232,0.0277901806764791,0.0326295343233122,948
"2',6'-Dihydroxy-3'-(1-p-menthen-3-yl)-4'-methoxychalcone",407.22092,7.756,"","","Phenylpropanoids and polyketides","Linear 1,3-diarylpropanoids","Chalcones and dihydrochalcones",NA,NA,NA,NA,-0.0279972552883753,0.0167398270753355,0.0326200569311979,949
"asprellol B",481.26126,3.973,"","","Organoheterocyclic compounds","Lactones","Gamma butyrolactones",NA,NA,NA,NA,0.032563413425178,-0.00192038030067289,0.0326199901042026,950
"2beta-Hydroxyjatropholone",311.16763,8.262,"","","Benzenoids","Indanes","Indanones",NA,NA,NA,NA,-0.032278019675876,-0.00469674663034739,0.0326179395901383,951
"2-chloro-1-(2,4-dimethylphenyl)-2-methylpropan-1-one",211.08646,6.058,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,-0.0311313677075422,-0.00963802906221093,0.0325891647568056,952
"(2-nitroprop-2-en-1-yl)cyclohexane",170.09645,7.426,"","","Organic 1,3-dipolar compounds","Allyl-type 1,3-dipolar organic compounds","Organic nitro compounds",NA,NA,NA,NA,0.0291497779280879,0.0145521946256045,0.0325802995946679,953
"Cer(t18:0/16:0)",556.52795,8.235,"HMDB0010697","","Lipids and lipid-like molecules","Sphingolipids","Ceramides",NA,NA,NA,NA,-0.000657413342138722,-0.0325560198726821,0.032562656867229,954
"2-amino-1-[(13z)-8,11-dihydroxy-10-(sec-butyl)-2-oxa-6,9,12-triazatricyclo[13.2.2.0,]nonadeca-1(17),8,11,13,15,18-hexaen-6-yl]-3-methylbutan-1-one",441.25208,7.695,"","","Unknown","","",NA,NA,NA,NA,0.0139242351694629,0.0294249235723853,0.0325531941949668,955
"Lycoposerramine K",262.17798,5.898,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,0.0325191935149413,0.00105344972727003,0.0325362521380396,956
"7-methyl-5a,8a-benzo-[5,6-b]-furancumarin",249.05548,6.547,"","","Organoheterocyclic compounds","Naphthopyrans","",NA,NA,NA,NA,-0.0325247259329716,0.000514479858827515,0.0325287947292865,957
"Sphingosine-1-phosphate",378.24216,7.563,"HMDB0000277","C06124","Lipids and lipid-like molecules","Sphingolipids","Phosphosphingolipids",NA,NA,NA,NA,-0.012963467327721,0.0298168965532124,0.0325130559194589,958
"13-Tigloyloxy-17-oxolupanine",361.20996,4.758,"","","Alkaloids and derivatives","Lupin alkaloids","Sparteine, lupanine, and related alkaloids",NA,NA,NA,NA,0.0261697999256739,-0.0192675853442066,0.0324976656568758,959
"Rubiginone I",413.12677,4.815,"","","Benzenoids","Tetralins","",NA,NA,NA,NA,0.0322279010393518,0.00402455767602688,0.0324782183915608,960
"O-Acetylgeibalansine",300.12363,6.832,"","","Organoheterocyclic compounds","Quinolines and derivatives","Quinolones and derivatives",NA,NA,NA,NA,-0.0213003520980162,0.0244902769960247,0.0324573361020506,961
"1-Hydroxy-3-methylxanthone",225.05586,6.362,"","","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans",NA,NA,NA,NA,-0.0287139829186445,-0.0151039496787123,0.0324441383141744,962
"Gambogenific Acid",645.31769,7.671,"","","Unknown","","",NA,NA,NA,NA,-0.00840960896545422,0.0312697064236615,0.032380797747644,963
"2-(2h-1,3-benzodioxol-5-yl)-3,4-dihydro-2h-1-benzopyran-3,7-diol",285.07983,4.579,"","","Phenylpropanoids and polyketides","Flavonoids","Flavans",NA,NA,NA,NA,0.0291905732763246,-0.0139818569674393,0.0323663697757164,964
"n-(2-methylpropyl)hexadec-2-enimidic acid",310.30991,8.806,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides",NA,NA,NA,NA,0.00910630362197305,0.0310149678719965,0.032324185956595,965
"Farnesylquinone",325.21643,7.083,"","","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,NA,NA,NA,0.0323103580712861,-5.60766546452983e-05,0.0323104067335265,966
"Questiomycin C",273.03345,3.477,"","","Organoheterocyclic compounds","Benzoxazines","Phenoxazines",NA,NA,NA,NA,0.00658916447147083,0.0316246446120682,0.0323037959885787,967
"Ilanefuranone",339.2894,8.939,"","","Organoheterocyclic compounds","Dihydrofurans","Furanones",NA,NA,NA,NA,0.0291214086083445,0.0139803296963912,0.0323033443741351,968
"Adenine",136.06177,0.671,"HMDB0000034","C00147","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives",NA,NA,NA,NA,-0.0317335586055255,-0.00594155722658614,0.0322849941001562,969
"Purpurin",393.13287,7.9,"","","Unknown","","",NA,NA,NA,NA,0.0287859094501539,0.0145058591520918,0.0322342757420232,970
"Beilschmiedic acid B",361.23468,7.666,"","","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols",NA,NA,NA,NA,0.0284968717125042,-0.0150653242106608,0.032234076549069,971
"5,9,9-trimethyl-2-methylidenebicyclo[6.2.0]dec-4-ene",191.17934,6.724,"","","Hydrocarbons","Unsaturated hydrocarbons","Branched unsaturated hydrocarbons",NA,NA,NA,NA,0.0132762661890659,0.0292972173396072,0.0321649838763696,972
"2-amino-4-methylhex-4-enoic acid",144.10185,0.305,"","","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,0.0277599325723788,0.016156992491813,0.032119499728413,973
"1-Methoxycarbonyl-Beta-Carboline",227.08099,5.021,"","","Organoheterocyclic compounds","Indoles and derivatives","Carbazoles",NA,NA,NA,NA,-0.0313196551269479,-0.00695810734444197,0.0320832675251092,974
"Coumestrol dimethyl ether",297.07526,6.518,"","","Phenylpropanoids and polyketides","Isoflavonoids","Coumestans",NA,NA,NA,NA,0.0208892992721031,0.0243289032761465,0.0320664678238745,975
"furo[2,3-h]quinoline",170.0562,6.759,"","","Organoheterocyclic compounds","Quinolines and derivatives","",NA,NA,NA,NA,0.00202374955976071,-0.0319588470831327,0.0320228585414183,976
"Galanganol C",431.19122,9.266,"","","Phenylpropanoids and polyketides","Diarylheptanoids","Linear diarylheptanoids",NA,NA,NA,NA,0.0197006943012186,0.025225258572699,0.0320067340728415,977
"(1s,9r,10s,12r,15r,16r)-12,14,14,19-tetramethyl-16-{3-[2-(methylamino)ethyl]-1h-indol-2-yl}-8,19-diazapentacyclo[7.7.3.0,.0,.0,]nonadeca-2,4,6-trien-12-ol",499.34024,9.222,"","","Unknown","","",NA,NA,NA,NA,-0.0287037364867099,0.0141025187514192,0.0319810181737951,978
"(1s,2r,4as,6as,6br,8ar,9r,10s,12ar,12br,14bs)-10-hydroxy-1,2,6a,6b,9,12a-hexamethyl-9-[(sulfooxy)methyl]-2,3,4,5,6,7,8,8a,10,11,12,12b,13,14b-tetradecahydro-1h-picene-4a-carboxylic acid",551.30725,8.702,"","","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA,NA,-0.00173475938828442,0.031919902758066,0.0319670077145114,979
"11,12,13-TriHOME",329.23303,5.837,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0221041798945439,0.0230902160835446,0.0319648689594552,980
"Harzianone D",299.20193,7.521,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,-0.0217898249287216,-0.0233308559504478,0.0319237421021546,981
"4-hydroxy-2-methylbenzoic acid",151.04001,5.424,"","","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives",NA,NA,NA,NA,0.0224072163658885,0.0227374154595771,0.0319229291740146,982
"icosyl 3-(4-hydroxyphenyl)prop-2-enoate",443.35156,7.418,"","","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives",NA,NA,NA,NA,-0.0316439196352154,0.00419481321938826,0.0319207472942838,983
"Leupeptin",427.30368,8.492,"HMDB0254042","C01591","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,0.0318992183515158,-0.000761596617628056,0.0319083086490912,984
"Kurzichalcolactone B",511.20822,8.193,"","","Unknown","","",NA,NA,NA,NA,0.0254693978066146,-0.0192118927973717,0.0319027749496699,985
"Piperidine-1-Carbaldehyde",114.09113,3.43,"HMDB0031702","","Organoheterocyclic compounds","Piperidines","",NA,NA,NA,NA,0.0289126857217822,-0.0134676055212237,0.0318954509941754,986
"Isoishwarone",219.17448,5.238,"","","Unknown","","",NA,NA,NA,NA,-0.0268104286837292,-0.0172457731231091,0.0318781394817684,987
"n-{18-hydroxy-10,14,16,20-tetramethyl-22-azahexacyclo[12.10.0.0,.0,.0,.0,]tetracosan-7-yl}ethanimidic acid",457.38,8.797,"","","Unknown","","",NA,NA,NA,NA,0.0155536529529416,-0.0278127849317896,0.0318663949301224,988
"(2e,4e)-n-(2-methylbutyl)deca-2,4-dienimidic acid",238.21643,6.639,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides",NA,NA,NA,NA,0.0225663568180036,0.0224843209376184,0.0318556925535026,989
"N-[2-(4-Hydroxyphenyl)-2-Oxoethyl]Acetamide",194.08128,4.386,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,0.00239683423641003,-0.0317407713956615,0.0318311385776329,990
"N-(3-Methoxybenzyl)palmitamide",376.32086,6.665,"","","Benzenoids","Phenol ethers","Anisoles",NA,NA,NA,NA,0.0269569225783118,-0.0169060180310818,0.0318196341990344,991
"N-Butylbenzenesulfonamide",214.0891,6.107,"","","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides",NA,NA,NA,NA,0.0302264795152395,0.00985981241260092,0.031793961135676,992
"Pratensin A",443.13724,4.951,"","","Phenylpropanoids and polyketides","Flavonoids","O-methylated flavonoids",NA,NA,NA,NA,0.0317511558296898,0.00148414743158948,0.0317858237288251,993
"5,10-dihydroxy-12-[(2z)-4-hydroxy-3-methylbut-2-en-1-yl]-2,2-dimethyl-1,11-dioxatetracen-6-one",393.13788,7.665,"","","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans",NA,NA,NA,NA,-0.0272207969822721,-0.016359215166609,0.0317583958854581,994
"16-methyl-3,5-dioxa-11-azapentacyclo[10.7.1.0,.0,.0,]icosa-1(20),2(6),7,9,11,14,16,18-octaen-13-one",288.0661,5.537,"","","Unknown","","",NA,NA,NA,NA,0.0242974674285624,0.0204084781680241,0.0317312606836975,995
"Herbarumin I",229.14061,4.64,"","","Unknown","","",NA,NA,NA,NA,0.0316663774209928,0.00125967408858449,0.0316914221482441,996
"trans-11-icosenamide",310.30981,8.467,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides",NA,NA,NA,NA,-0.00569227343465629,0.0311369248100364,0.0316529629494737,997
"Aurachin G",392.20816,8.21,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.031608342268861,-5.11208800127709e-06,0.0316083426822557,998
"5,6,8-Trimethoxy-3-Methylisocoumarin",251.09169,5.245,"","","Phenylpropanoids and polyketides","Isocoumarins and derivatives","",NA,NA,NA,NA,-0.0307885333622431,-0.00709986297449018,0.0315965479262291,999
"[(1r,3as,5ar,7r,8s,9ar,9br,11ar)-1-[(2s,3r)-3,6-dihydroxy-6-methylheptan-2-yl]-3a,8-dihydroxy-9a,11a-dimethyl-5-oxo-1h,2h,3h,5ah,6h,7h,8h,9h,9bh,10h,11h-cyclopenta[a]phenanthren-7-yl]oxyphosphonic acid",543.27722,9.246,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives",NA,NA,NA,NA,0.0146824186511663,-0.0279577738637724,0.0315786405164306,1000
"Fusarester C",265.17975,7.189,"","","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids",NA,NA,NA,NA,-0.0211702056597208,0.0234269532090036,0.0315753027591458,1001
"(3R,3aS,6E,10E,11aS)-3-(methoxymethyl)-6,10-dimethyl-3a,4,5,8,9,11a-hexahydro-3H-cyclodeca[b]furan-2-one",263.16528,7.404,"","","Organic acids and derivatives","Vinylogous acids","",NA,NA,NA,NA,0.00705724074179892,-0.0307763863730768,0.0315751580371756,1002
"Hesperidin",609.19843,5.23,"HMDB0003265","C09755","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides",NA,NA,NA,NA,-0.0271749280279429,-0.0160550927001708,0.0315633128003851,1003
"PC(14:1(9Z)/22:2(13Z,16Z))",784.58649,9.287,"HMDB0007921","","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,-0.0173144819358692,0.0263646457048919,0.0315418107890467,1004
"16-O-acetylpolyporenic acid C",523.34668,8.402,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Ergostane steroids",NA,NA,NA,NA,-0.011184851399751,0.0294897087011679,0.031539559605585,1005
"Dodecyl Gallate",337.20459,6.989,"HMDB0038720","","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives",NA,NA,NA,NA,-0.0206917165641406,-0.0237736363138065,0.0315171844864332,1006
"3,7-dihydroxy-8-methyl-8-azabicyclo[3.2.1]octan-6-yl propanoate",230.14015,3.956,"","","Alkaloids and derivatives","Tropane alkaloids","",NA,NA,NA,NA,0.0264286724069374,0.017164112147474,0.0315131951887504,1007
"6-hydroxy-5-methyl-3-(prop-1-en-2-yl)-1,2,3,4-tetrahydronaphthalen-1-one",217.12265,6.6,"","","Benzenoids","Tetralins","",NA,NA,NA,NA,0.0125700402271701,-0.0288868149831408,0.0315032377888827,1008
"Pseudobaptigenin 7-O-glucoside",445.11179,4.08,"HMDB0036609","","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides",NA,NA,NA,NA,0.0278711641863497,0.0146681362575601,0.0314953332157768,1009
"Filifolide B",167.10641,5.789,"","","Organoheterocyclic compounds","Lactones","Gamma butyrolactones",NA,NA,NA,NA,0.0153806616673652,0.0274098270207761,0.0314302938362788,1010
"(1s,2s,5s,6r,7r,9r,10s)-10-hydroxy-1,2,5,7,9-pentamethyl-3,11,12-trioxatricyclo[5.3.1.1,]dodecan-4-one",271.1517,4.81,"","","Unknown","","",NA,NA,NA,NA,-0.0255462499408216,-0.018307613087314,0.0314289608958636,1011
"Beauveriolide IV",426.30099,5.394,"","","Organic acids and derivatives","Peptidomimetics","Depsipeptides",NA,NA,NA,NA,0.00245805049899173,0.0313261724466931,0.0314224615906448,1012
"Obscuraminol A",278.24789,6.726,"","","Organic nitrogen compounds","Organonitrogen compounds","Amines",NA,NA,NA,NA,-0.00133410926525171,0.0313253533482003,0.0313537495352826,1013
"Sczukidine",356.18536,8.369,"","","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,NA,NA,NA,0.0297028900597847,-0.00999663528875351,0.0313399807753611,1014
"Kopsimaline A",487.17401,7.124,"","","Unknown","","",NA,NA,NA,NA,-0.0285665305604222,0.0128886074086887,0.0313394778066713,1015
"Certonardosterol A",479.33282,6.033,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives",NA,NA,NA,NA,0.028979315778614,0.0118619246740547,0.0313130324301173,1016
"(1r,2r,13r,15r)-11-hydroxy-15-methyl-6-azatetracyclo[8.6.0.0,.0,]hexadec-10-en-12-one",262.17798,6.01,"","","Unknown","","",NA,NA,NA,NA,0.0118736548046215,0.0289518806115969,0.031292092761071,1017
"(3R)-7-hydroxy-3-(3-hydroxypropyl)-8-methoxy-3,4-dihydroisochromen-1-one",251.09575,5.837,"","","Organoheterocyclic compounds","Lactones","Gamma butyrolactones",NA,NA,NA,NA,0.0105295411980325,0.0294668132108661,0.0312916014074885,1018
"arthrobactin",457.22623,8.152,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,0.0268823604400156,0.0160130507982916,0.0312902396714308,1019
"Ether",299.09082,7.178,"","","Phenylpropanoids and polyketides","Flavonoids","O-methylated flavonoids",NA,NA,NA,NA,-0.0282099493759778,0.0134913973951677,0.0312700982964488,1020
"Tetrahydrofuran-2-methanol",103.07539,8.57,"","","Organoheterocyclic compounds","Tetrahydrofurans","",NA,NA,NA,NA,0.0284027866970933,0.0130371398450127,0.0312519648582133,1021
"PC(10:0/22:0)",734.57178,9.254,"","","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,-0.0122427794553534,-0.0287456218030545,0.0312441421971649,1022
"Crm 51005",249.14836,7.67,"","","Benzenoids","Benzene and substituted derivatives","Phenylpropenes",NA,NA,NA,NA,0.029388180874589,-0.0105062352245084,0.0312097124900288,1023
"Bis(2-Ethylhexyl) Hexanedioate",369.30142,7.858,"HMDB0040270","C14240","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",NA,NA,NA,NA,-0.0255288116336647,0.017939929553594,0.0312019437826404,1024
"15-(1-hydroxyethyl)-1,2,6,6,10,18-hexamethyl-14,23-dioxahexacyclo[11.8.1.1,.0,.0,.0,]tricosan-7-ol",461.35916,7.995,"","","Unknown","","",NA,NA,NA,NA,0.0208554054181505,-0.0232028812423056,0.0311981030368828,1025
"14-[3,5-dihydroxy-4-(3-hydroxy-3-methylbutyl)phenyl]-1-(3,5-dihydroxyphenyl)tetradec-6-en-1-one",511.30991,8.445,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,-0.0088842192565523,0.029862393939103,0.0311559291880802,1026
"Oxaclausarin",397.19943,7.856,"","","Unknown","","",NA,NA,NA,NA,0.0212354767694705,-0.0227638626324453,0.0311309960581983,1027
"Eicosanoyl-EA",356.3519,6.837,"HMDB0248559","","Organic nitrogen compounds","Organonitrogen compounds","Amines",NA,NA,NA,NA,0.0306234512003458,-0.00541041688717762,0.0310977229763373,1028
"docosa-9,12,15-trien-1-ol",321.31445,7.977,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols",NA,NA,NA,NA,0.021764435878553,-0.0221984268524426,0.0310879530338504,1029
"Pleurone",112.98569,0.939,"","","Organic acids and derivatives","Organic carbonic acids and derivatives","Carbonic acid diesters",NA,NA,NA,NA,0.0279379496245601,0.0136120653645273,0.031077602106865,1030
"2-hydroxy-n-(1,3,4-trihydroxyoctadec-8-en-2-yl)tricosanimidic acid",666.60175,8.688,"","","Lipids and lipid-like molecules","Sphingolipids","Ceramides",NA,NA,NA,NA,0.0226013500524014,0.0213058337788321,0.0310605791511106,1031
"DL-2-hydroxy stearic acid",299.25925,8.415,"HMDB0062549","C03045","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0308428776480054,0.00330309707502563,0.031019244863421,1032
"Siccanochromene A",325.21637,8.667,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,0.00101868139705725,-0.0310024579548793,0.0310191893999951,1033
"Cymosalignan C",371.14856,7.482,"","","Benzenoids","Naphthalenes","Naphthoquinones",NA,NA,NA,NA,0.0197409328475299,-0.0238595946340202,0.0309674778726077,1034
"2-{10-methoxy-7-oxo-2h,3h-[1,4]dioxino[2,3-g]chromen-2-yl}prop-2-enal",287.05902,5.537,"","","Phenylpropanoids and polyketides","Coumarins and derivatives","p-Dioxolo[2,3-g]coumarins",NA,NA,NA,NA,0.0247159326538593,0.0186436597402872,0.0309590596669491,1035
"Ethyl 4-ethoxy-2-hydroxy-3,6-dimethylbenzoate",237.11343,5.727,"","","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives",NA,NA,NA,NA,-0.00110129086130671,0.030907564009492,0.0309271782508855,1036
"Methyl sulfate",110.97574,0.796,"HMDB0254614","C02704","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters",NA,NA,NA,NA,0.0308186442951294,0.00244652345732309,0.0309155998359557,1037
"4-Hydroxybutanoic acid",103.04003,5.118,"HMDB0000710","C00989","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.00145707491172036,0.030868062091816,0.0309024323412021,1038
"11-phenyl-7E-undecenoic acid",261.18454,6.602,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.00621125925283563,0.0302625877009296,0.0308934290078391,1039
"Taxumairol X",483.22299,8.115,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,0.030825293211246,0.00176564944041595,0.0308758193333509,1040
"Altisin",357.10321,0.64,"","","Phenylpropanoids and polyketides","Flavonoids","O-methylated flavonoids",NA,NA,NA,NA,-0.0272044020089745,-0.014511964545585,0.0308330440216047,1041
"28:7(n-6)",409.31024,9.257,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0306109210276455,0.00366937163147093,0.0308300628337114,1042
"N-Octyl-2-pyrrolidone",198.18538,8.431,"","","Organoheterocyclic compounds","Pyrrolidines","N-alkylpyrrolidines",NA,NA,NA,NA,-0.0236404245601957,0.019694285701545,0.0307690520276524,1043
"3-oxoglycyrrhetinic acid",467.31656,8.181,"","","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA,NA,0.0200111225862575,-0.0233430668469818,0.0307464436477601,1044
"2-{[(2e)-3-methanesulfinylprop-2-en-1-yl]disulfanyl}butane",223.02798,6.069,"","","Organosulfur compounds","Sulfoxides","",NA,NA,NA,NA,0.0305298648481954,0.00363532814625659,0.0307455404632939,1045
"P-Xylene",107.08555,8.809,"HMDB0059924","C06756","Benzenoids","Benzene and substituted derivatives","Xylenes",NA,NA,NA,NA,-0.0116881942165792,0.0284012693695756,0.0307123100050723,1046
"p-Cyclohexylphenol",177.12708,7.709,"","","Benzenoids","Benzene and substituted derivatives","Cyclohexylphenols",NA,NA,NA,NA,-0.0297416667003353,0.00752880259849465,0.0306797915032181,1047
"Ritalinic acid",220.13103,4.905,"HMDB0042008","","Organic nitrogen compounds","Organonitrogen compounds","Amines",NA,NA,NA,NA,0.0278665316388233,0.0127870678689995,0.0306602787049292,1048
"Curcumenol",235.16963,7.494,"HMDB0033960","C16942","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.0289381646718123,0.0100554017336216,0.0306354121662733,1049
"(1s,2r,3r,4ar,5s,7s,8ar)-2,7-dihydroxy-4a,5-dimethyl-3-(prop-1-en-2-yl)-octahydro-1h-naphthalen-1-yl 3-methylbut-2-enoate",335.2229,7.494,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.0263355138066542,0.0156429586292525,0.0306310535590433,1050
"(3as,3br,5ar,6s,7s,9ar,9bs,11as)-1-[(1s)-1-(dimethylamino)ethyl]-9a,11a-dimethyl-3h,3ah,3bh,4h,5h,5ah,6h,7h,8h,9h,9bh,10h,11h-cyclopenta[a]phenanthrene-6,7-diol",362.3045,6.297,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids",NA,NA,NA,NA,-0.0291568439728353,-0.00928737416341211,0.0306002756410376,1051
"5Athq-10A",274.25354,5.612,"","","Organoheterocyclic compounds","Quinolines and derivatives","Hydroquinolines",NA,NA,NA,NA,0.0225774782575371,0.0206321063675677,0.0305847402740679,1052
"Arachidonyl alcohol",291.26828,9.02,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols",NA,NA,NA,NA,-0.0194411840316638,0.0235943241727902,0.0305720749986607,1053
"Feretoside",405.14496,7.164,"","","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides",NA,NA,NA,NA,0.0305147995008082,-0.00186228988014035,0.0305715735965978,1054
"9-(2,3-dihydroxy-3-methylbutyl)-8,11-dihydroxy-2,2-dimethyl-1,5-dioxatetraphen-10-one",413.15683,5.788,"","","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans",NA,NA,NA,NA,-0.029321173511487,-0.00864426448680023,0.0305688489251473,1055
"Acerogenin B",297.15283,6.445,"","","Phenylpropanoids and polyketides","Diarylheptanoids","Cyclic diarylheptanoids",NA,NA,NA,NA,-0.0305294156324061,0.0013146066422632,0.0305577062208551,1056
"4-phenylbutan-2-ol",149.0985,7.906,"","","Benzenoids","Benzene and substituted derivatives","",NA,NA,NA,NA,0.030538693375326,-0.000300409601392206,0.0305401709065419,1057
"(6r,7s)-2-methyl-2-azaspiro[5.5]undecan-7-ol",184.16951,8.815,"","","Organoheterocyclic compounds","Azaspirodecane derivatives","",NA,NA,NA,NA,0.0161684738983186,0.0259013079465186,0.0305335438745816,1058
"(2e,4e)-1-(piperidin-1-yl)octadeca-2,4-dien-1-one",348.32623,8.984,"","","Organoheterocyclic compounds","Piperidines","N-acylpiperidines",NA,NA,NA,NA,-0.00965528064758442,0.02896484764311,0.0305317350206665,1059
"Cernuine",263.21188,4.158,"","C09860","Unknown","","",NA,NA,NA,NA,-0.0282480685470643,-0.0115591834025717,0.0305216005080653,1060
"Xerophilusin G",423.2164,7.053,"","","Unknown","","",NA,NA,NA,NA,-0.0305069938115705,0.00043743416032702,0.0305101297942802,1061
"3-Phenylacetoxynortropane",262.14371,4.467,"","","Unknown","","",NA,NA,NA,NA,-0.0233480037105214,-0.0195327580023808,0.030441056362191,1062
