Name,m/z,RT [min],HMDB,KEGG,Super_Class,Class,Sub_Class,log2FC_Processing_1,log2FC_Processing_2,log2FC_Processing_3,log2FC_Processing_4,YS0_F-1,YS0_F-2,YS0_F-3,YS25_F-1,YS25_F-2,YS25_F-3,YS50_F-1,YS50_F-2,YS50_F-3,YS75_F-1,YS75_F-2,YS75_F-3,YS100_F-1,YS100_F-2,YS100_F-3
Filifolide B,167.10641,5.789,,,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,,,,,2005660.4960245704,1646403.819572163,1933443.288403266,2071224.6248580362,1979117.6404330367,2103726.8747089277,2072923.975290158,1959038.3470317295,1749695.9616781122,1661599.5524248215,1775368.8336648392,1965573.7599103397,1855914.8693389616,1666194.6242120906,1821473.1184489476
"1-Methyl-4-(1-methylethenyl)-2,3-dioxabicyclo[2.2.2]oct-5-ene",167.10895,7.183,HMDB0036878,,Organoheterocyclic compounds,Dioxanes,"1,2-dioxanes",,,,,92517.22836420649,100519.75422809708,99308.40820769641,46594.07817698477,40144.76487577653,45652.3579072387,129770.10880652946,129514.74565172367,114609.95844174692,131885.93568668986,137197.13418070695,120334.88273260319,28529.284618423862,31618.755046430517,32328.994725145618
"2,5-dimethyl-2-(prop-1-en-2-yl)cyclohexan-1-one",167.14275,8.817,,,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,,,,,1138715.7963052765,1173541.8264211754,1098463.0442735478,1211908.336389752,1168373.0093531883,1224055.0162570593,1222411.206209204,999588.313722076,1168193.8240687202,100102.5152320703,101164.15337220472,85474.74988572497,95053.03457118537,109360.27081839676,116297.28071041784
Azepinomycin,169.07561,3.833,,,Organoheterocyclic compounds,Imidazodiazepines,,,,,,3497013.7283390295,4107290.0238928013,4414233.304768169,1308390.6445552593,1285513.6355264222,1419793.313918319,1601907.5898194988,1444440.3154303904,1723054.19475011,2758410.3894649777,2489927.9776498843,2832619.4418851393,1758913.9662273207,1654848.1909286287,1741934.8138440496
2-cyclohexylbut-2-enoic acid,169.12245,4.488,,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,881423.956046049,873824.3831859775,907651.3051679736,648248.2947961052,688818.9084649069,734360.530638988,941760.4050869079,687629.1426370991,739533.579175993,1041851.6068882825,959676.1967906349,929801.3443210821,691914.5955508995,680153.9724423462,757425.6650067541
"5-(2,5-dihydrofuran-3-yl)-2-methylpent-3-en-2-ol",169.1225,4.733,,,Organoheterocyclic compounds,Dihydrofurans,,,,,,595537.7333643645,505793.3189458906,580001.325089745,715845.9902415972,898122.3684558899,840602.184302513,599834.4353449119,584227.0636687872,548665.5193863008,820153.9815372743,716212.2816363815,838461.396226344,516451.71031885076,471179.6499682489,518779.5275129003
"furo[2,3-h]quinoline",170.0562,6.759,,,Organoheterocyclic compounds,Quinolines and derivatives,,,,,,1068234.5350601987,1078539.041206355,1058158.5177334463,856356.0522949522,905950.2891593796,831360.1804456684,1118821.9068910629,1226753.096836352,1175631.2052725854,1299099.8879400387,1143586.2947867888,1237932.8892731722,979136.7790538062,1018360.559634465,889348.7354117287
Diphenylamine,170.09627,6.941,HMDB0032562,C11016,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines,,,,,22568839.42881955,21060234.065606173,18802097.85557429,16442086.10043405,16887089.66967269,16216956.579893254,5249953.17621462,6725084.705207839,6296615.45457754,22565720.478864856,20424661.506753467,22131257.554381676,12387297.307879545,13685708.885513345,11322199.936607111
(2-nitroprop-2-en-1-yl)cyclohexane,170.09645,7.426,,,"Organic 1,3-dipolar compounds","Allyl-type 1,3-dipolar organic compounds",Organic nitro compounds,,,,,1711787.439620901,1677647.6436898941,1915790.9566892048,2208919.276078554,2454058.6000295645,2321975.4848918817,2087608.2837099861,1840504.956164055,1866948.3601259594,1999939.7424070789,2068858.0828291748,2018678.3407637463,2357139.8705647676,2434031.8931323285,2550508.8973029037
(E)-2-decenamide,170.15424,8.839,,,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,,,,,8998110.377657037,9878942.322434062,9234634.229908902,290487.92441762896,298918.4506940326,305424.4286883385,8712105.358280536,9364675.752842758,9865283.841876712,10321514.290922903,10883296.190723801,11317594.768353296,8065842.278220231,8101339.916495829,8804001.65828394
Litseacubebic Acid,171.1015,8.024,,,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,,,,,1923922.135129151,2239053.410455162,2267863.418415687,277075.5081647794,317702.8869353344,287364.05899988604,2084758.958423971,1938151.1298804558,2448673.024695572,3191305.0608179397,3075120.3369128397,2273529.7082692212,1673343.843423477,1440704.5516309484,1506908.814945575
Gabapentin,172.13303,6.19,HMDB0005015,C07018,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",,,,,1872119.6197041648,2397860.2963847513,2645377.7739110836,1990870.0211874698,2204935.245467677,2357078.464344853,2212692.457779837,2099553.2659825576,2183717.2972376067,2206366.079971883,2366416.2042261837,2576104.180801933,2670924.1083025886,1940220.3734790357,2793115.828218376
decanamide,172.16957,6.318,,,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,,,,,99382807.89489783,99251126.06631573,90243134.57878646,78303754.65030585,75186800.57601115,82538435.19368303,84627698.03733937,82017356.76042788,85111319.97223276,107459960.59176512,112906259.538097,110601902.37013792,72308896.6336554,70972794.4969501,75414931.6493945
Massarigenin E,173.07814,0.549,,,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,,,,,2222686.494425465,1996066.3059758712,1902547.5975986647,2037586.596146949,1967185.2110867733,2214978.3157662773,1762629.7313971536,1968881.8598199133,1925290.733782933,1989910.3614655568,1813109.9906215172,2180889.5679129246,2015083.2821580546,2083575.4193496166,1970281.4184923284
Cleroindicin D,173.07823,1.259,,,,,,,,,,5355070.434471393,6233609.0112423645,5697693.910286241,6322909.324472705,5853638.660478144,5593114.733049154,5565352.270295014,4857529.860876761,5709286.875828223,5474343.173639674,5071117.942176958,5424242.198183368,5400237.210655321,6014973.615137933,5070355.193206748
Rimboxo,173.08574,4.525,,,Organoheterocyclic compounds,Dioxanes,"1,4-dioxanes",,,,,2049199.1918060195,2142014.1706527844,2307337.689541195,1694819.0133277576,2104153.604325147,2110916.718347095,1958675.501316924,2117169.3032654547,2066181.4204176208,2699989.512169833,2563771.7756845555,2373367.167145611,2316397.8248126637,2316670.0742798187,2667321.049907517
thymol,173.09196,0.625,HMDB0001878,C09908,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,,,,,1014415.1696253838,1152644.2923047238,1191296.766069892,4110442.686860306,4234464.670629374,4225105.236510322,595289.6468910257,673879.4410006792,749970.704908295,488286.487155263,466901.9818776565,502473.3262670805,2441242.441566302,1982084.929863766,2130621.8275699313
"1-(2,3,6-Trimethylphenyl)but-1,3-diene",173.13222,9.314,,,Benzenoids,Benzene and substituted derivatives,Styrenes,,,,,966694.189215937,989107.8413592455,983806.7739248173,2564991.0771688474,2744669.4238239913,2641138.8190071615,1080481.943380487,949950.2231295502,948806.7525899633,2310022.262979117,1786298.7970564133,1878819.73996447,1408329.545823358,1730998.9686717626,1500554.5885048797
"7-ethyl-1-methyl-2,3-dihydroazulene",173.13228,9.158,,,Hydrocarbons,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,,,,,3338896.040672218,3089946.203101164,3014114.5122266165,5161062.078038565,4944121.785369555,5054629.70059188,2156902.085215115,1950277.0313682975,2270492.6894165874,3704801.7418113113,3618396.635539138,4524554.5716495495,2338867.2114118394,2696361.8748416672,2875650.1817464926
"N,N'-diisobutylurea",173.16504,5.572,,,Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas,,,,,940050.1782017968,1094602.7527930338,1021989.6130051691,1422545.9896300451,1421019.485380665,1518175.0579892898,1024433.1976174423,932454.6512447419,1019808.4238378156,1240637.3193268136,932287.9463539557,1136721.8943192312,1134822.3627602607,998908.1959873957,1230843.7182523443
"5,7-dimethylquinolin-6-ol",174.09135,5.248,,,Organoheterocyclic compounds,Quinolines and derivatives,Hydroxyquinolines,,,,,788050.2266233973,722626.4237817577,1098783.196294845,356107.6907491236,333484.6920790679,352779.08487180853,418894.487877863,345403.00147652754,376553.56564560963,451233.0091071734,491156.4170367744,482893.646356052,441457.7261240248,442335.1088952998,490076.4762806752
Indospicine,174.12788,7.99,HMDB0245671,C08288,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",,,,,2671049.2083805576,3106958.4516812176,3204344.5729382243,4736025.223566932,4680183.859682767,4983551.789750303,4888663.662761636,4724582.690646792,4628623.65559157,5686756.224060272,4598310.945947424,4822596.544992308,4948249.248215514,4922057.282147155,4263957.939637332
argimycin pvi,174.1279,9.11,,,Organoheterocyclic compounds,Pyridines and derivatives,Hydropyridines,,,,,8479100.868463282,7898886.126746681,7924046.608790038,8681556.45721766,9809359.560879314,10780628.247903027,8682444.33824883,7666832.9493336845,8130734.976417489,10242511.571657784,9473144.30487615,9759784.78446606,5434293.764984363,5456648.224213443,5637792.169802198
9-amino-nonanoic acid,174.14853,4.105,,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,1501208.6067788496,1332466.545334156,1445961.6718869947,2067456.4922104531,2237876.522413901,2398078.3203756455,6118651.392625508,6260571.352924889,5637744.543449606,2766900.7090175333,2768761.7676078826,2965351.141374583,1093543.379765703,1111918.0152946217,1182844.1419396747
"3-Chloro-4,5-Dihydroxybenzyl Alcohol",175.0152,8.53,,,Benzenoids,Phenols,Benzenediols,,,,,338907.50513013825,316016.9171458277,278874.09222403396,142499.82081847088,168712.283694331,124287.90308719811,1084026.9666027292,1031844.6981952604,1130006.1362020108,766678.7028741981,726187.6838696249,616246.6058561769,397219.48853902967,397502.3399351201,422314.54722585017
"3,3a,7,7-tetramethyl-6,7-dihydro-3aH-indene",175.1481,8.367,,,Hydrocarbons,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,,,,,9121548.330113048,10329447.29137482,10442164.454512127,10398426.28485159,11493339.956386106,12870523.578762297,13358671.595758857,11695490.115821956,12396140.258419188,8095376.548215745,9725364.47029144,8868157.919492817,14375375.343088238,13489703.545605304,12864471.031306455
L-Citrulline,176.10283,0.647,HMDB0000904,C00327,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",,,,,93083.14299519116,86033.02767330041,95255.06795150843,5083.494895748666,4663.150999735432,5441.202686515901,12048.864143083118,10815.253431501433,10831.388715415447,11076.589024873083,10635.182461795268,11620.89215333165,50351.59801930003,49960.00050221572,59620.43082848428
"(2r,3r,4r,6r)-6-ethyl-2-(hydroxymethyl)piperidine-3,4-diol",176.12813,0.658,,,Organoheterocyclic compounds,Piperidines,,,,,,3521625.1755912206,3366817.483484129,3901297.7039246503,4918181.849212882,5469204.129713327,6190675.929073789,3464356.029947903,4073178.686442171,3341180.789609925,4676024.022185834,4628036.757021658,4414233.476792511,5224711.944497568,5478512.828844358,4900595.294658075
Herniarin,177.05424,6.06,HMDB0029758,C09268,Phenylpropanoids and polyketides,Coumarins and derivatives,,,,,,841937.8865627,766018.7814179886,928486.1406193114,487264.8487585158,395523.02874720417,517519.1860942801,424965.55275965633,444467.0164924146,407981.0843479291,481330.0742526279,514514.82144381397,531481.268203558,429545.8706958391,314257.4796277263,404727.4019764344
7-methoxybenzofuran-5-carboxaldehyde,177.05431,6.663,,,Organoheterocyclic compounds,Benzofurans,,,,,,1010764.8715503772,1089541.2676422037,1105837.0068074188,415274.6823884149,442147.6043585275,468986.4722530577,478760.26475007203,380802.2026299398,418921.8697199882,495451.65293137217,477943.92163697263,476809.5536316552,449768.18696201156,511206.1713346606,439890.2613033277
"(3ar,7ar)-2-(prop-2-en-1-yl)-3a,4,5,6,7,7a-hexahydroinden-1-one",177.12703,6.907,,,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,,,,,11226240.854003925,10107967.831199178,12443736.16479689,10875092.377931321,11809330.664939892,11746171.837128794,13543669.643655824,12065095.936499938,12050511.109844236,11430436.700587332,12282276.367433302,13404920.281979356,11321676.366800655,11798211.162901383,11594658.640297968
4-(4-methylphenyl)pentan-2-one,177.12704,5.287,,,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,,,,,460680.9406405577,400236.06540039816,431536.6927590441,352588.9812127419,336905.02755885513,343845.636128403,298873.4937937525,288701.21291064826,285739.25619559916,495510.3014257166,415761.6021991535,532739.2823751299,357820.3011259319,345416.0278069552,282404.163767113
7-Methoxy-1-methyltetralin,177.12706,7.928,,,Benzenoids,Tetralins,,,,,,4138456.082907325,3882797.395200483,4304002.369892193,5925596.822633998,7086198.090255927,6149786.6341100745,2442495.3526247847,2186186.06359275,2327707.8197824657,4918698.52161888,4945323.599056159,5484487.981324961,1725097.7799403917,1491685.7475617002,1503236.1514979082
p-Cyclohexylphenol,177.12708,7.709,,,Benzenoids,Benzene and substituted derivatives,Cyclohexylphenols,,,,,804333.0608227553,725503.8316941097,832413.6256831351,225439.15234293326,209160.9962941014,229817.4620629654,376739.0412448067,347437.40657201887,364056.1719831743,244736.61236886648,241178.13901222765,226210.7454189059,77866.7534756532,87679.155742869,79638.74523147779
"(3s,3ar)-3,6-dimethyl-3,3a,4,5-tetrahydro-2h-indene-1-carbaldehyde",177.12712,7.833,,,Organic oxygen compounds,Organic oxides,,,,,,3038306.139300396,2617372.7854137355,3121474.4182858677,4327241.16756111,4372420.033148621,5199773.964290266,2234508.476957041,2158195.642636514,2361426.0434064465,4102456.0799679365,3400608.328561198,3708846.847470865,2386166.429026103,1709554.1983174991,2326216.8746563974
"11-methylidenetricyclo[5.3.1.1,]dodecane",177.16383,7.706,,,,,,,,,,1133975.8273298033,1182504.767874768,1213367.6597954284,1079826.1733629901,1071150.288173299,1207210.3654637106,189795.96548381227,172504.78632829606,172186.87178789167,1182061.1849966613,1042179.1301844876,1079760.3198188508,839432.0472810866,885076.7631963629,863100.131522551
"(3E,5Z,7Z,9E)-Trideca-3,5,7,9-tetraene",177.16396,8.831,,,Hydrocarbons,Unsaturated hydrocarbons,Olefins,,,,,2730534.654470793,2928519.8162216796,2912492.7623075256,2172576.94378896,2262584.4040412046,2162249.262169835,2009330.2568755995,1755887.7283507518,1707964.9387736483,2394114.521177181,1926802.4598592715,2325785.5909635476,2685670.3046511146,2837064.2581787244,2572013.9431701615
(E)-2-((isobutylimino)methyl)phenol,178.12239,6.366,,,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids,,,,,584169.3123858438,595504.3158672234,624259.583546933,1386847.2258102319,1272390.6554718688,1294766.1987178996,952621.3953684651,874844.2848025352,1017536.3645289997,740303.1130398201,745258.1898028019,840297.7240573781,766259.6573738522,874122.1303688032,869751.6808573445
"3,4-Dimethyl-5-pheyloxazolidine",178.1225,9.346,,,Benzenoids,Benzene and substituted derivatives,,,,,,9000201.495690657,8959122.758463142,8247887.621846199,8438060.822892658,9436593.357733205,9019339.388374135,8709614.151788412,9212370.684730882,8959702.894480703,9582260.448653806,9212064.598731738,8662581.30961446,8978128.172790153,9335045.5910001,9521796.985209748
"2,6-diisopropylaniline",178.1588,6.841,,,Benzenoids,Benzene and substituted derivatives,Cumenes,,,,,214626.61496614822,239455.96132942342,231733.09090442836,889940.64629919,889413.6773438472,883086.9987569627,376530.19918821467,423468.0181677242,428001.5989440612,707499.729966911,581863.6348136364,777656.3572194525,489538.2993022909,502484.02238180937,633898.3832158998
Coniferaldehyde,179.07004,4.758,HMDB0141782,C02666,Benzenoids,Phenols,Methoxyphenols,,,,,6494767.068514343,6614297.720554648,6287043.401931007,614463.8884664129,656338.8909401213,631055.9148934658,594244.273109919,571629.361092626,687668.3029974551,657235.8181947888,640201.1427293977,604877.6142758137,625487.5607139249,612065.7243240187,687068.4447620563
Desoxy-galiellalactone,179.10677,6.17,,,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,,,,,905856.8992145823,982180.0393006763,906666.4263847411,1219878.102739325,1137676.6065704103,1060596.309690264,1089202.3665265418,1179935.0672559023,1259336.9922175554,1119080.7688908405,1153015.9612384273,964786.7948707317,1313761.755171924,1116092.2992888952,1241460.2175391815
2-(propan-2-ylidene)-hexahydro-1h-inden-4-one,179.14272,8.581,,,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,,,,,107441.33128536551,118382.05537400275,122354.96814063175,42432.755792806856,41908.982196161116,40128.69821103204,67013.97501370659,49015.59985925798,61898.045947035425,1487546.8043297776,1405545.2008470776,1498429.1198231445,1250371.772487028,1151701.5395429041,1143366.1019700682
4-(4-methylcyclohex-3-en-1-yl)pent-3-en-2-one,179.14275,5.543,,,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,,,,,1037829.769458824,1151794.509010214,1263212.8935309625,1586021.811042632,1767791.52980294,1669228.997154427,1040714.9520474166,1082323.746283536,1092661.0436690473,1693411.3514374525,1560776.9731324161,1537834.7894301303,933521.3382395052,847866.0218229847,1068177.2934375103
"2-(but-3-en-1-yl)-1,3,3-trimethylcyclohex-1-ene",179.17947,8.434,,,Hydrocarbons,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,,,,,9132601.817251632,9917674.755481288,11027563.19726708,7986350.755158216,8706245.515614444,9764306.661227338,9429450.775912138,8786360.65448875,9324437.653599117,9708283.848892825,10847706.975224031,10266498.625883143,8039291.136756243,7003123.046346455,7729172.6158973025
tridec-3-en-1-yne,179.17949,8.286,,,Hydrocarbons,Unsaturated hydrocarbons,Enynes,,,,,12197793.058992285,10655550.58578591,10595975.835221803,7283048.519402706,6726676.935437403,7404734.352159892,9754048.391936189,9976153.405168729,9215196.76689508,10951882.322453031,8879733.442697173,11003307.604849795,8086640.731432502,8358404.124734014,9392975.931833487
Benzo(f)quinoline,180.0811,6.121,HMDB0249008,,Organoheterocyclic compounds,Quinolines and derivatives,Benzoquinolines,,,,,1870110.878967325,1403250.741906203,1708380.1461264722,258687.98268963734,264012.0669107038,269909.6151996587,381060.02373835293,299184.7563391789,345078.03112246824,290833.21508905035,292364.222218785,392884.99719216477,396323.438457893,467218.3879767401,360872.9679653669
"2-Ethyl-7-Hydroxy-6,7-Dihydro-5H-Indolizin-3-One",180.09923,3.715,,,Organoheterocyclic compounds,Pyridines and derivatives,Hydropyridines,,,,,1770419.5767533774,1484290.919829049,1582194.4174175735,2552764.8765118723,2992735.8186703282,2846091.507817799,1898698.26400013,1865004.5962499313,1801583.5497499388,2544891.0960385026,2461186.118182927,2513812.026778572,1383876.6058137207,1432706.0122493186,1802722.98693696
1-(4-Ethoxyphenyl)Propan-2-Amine,180.13843,6.76,,,Benzenoids,Benzene and substituted derivatives,Phenethylamines,,,,,2709295.081620413,2314780.675967589,2276212.8264119984,1512964.2701133054,1579497.882707192,1505370.739179502,751783.7981937961,867013.198679503,839220.0148267013,1686983.855245338,1670830.8457666028,1976576.5949880597,955657.1661438545,966663.9060851919,1123595.7757709534
Rimantadine,180.17471,5.42,HMDB0014621,C07236,Organic nitrogen compounds,Organonitrogen compounds,Amines,,,,,568326.8088337866,546506.4593849498,586489.0985812636,919490.9645588018,768335.4336379,1100730.4689032985,553963.7071075825,621014.8732211202,568868.7576712975,814005.3013168237,735325.4233468748,768308.3250363021,663581.3092397937,666952.5518209618,717513.8864392447
"1,2,3,4,5,6-hexahydropteridine-2,4,6-trione",181.03853,5.87,,,Organoheterocyclic compounds,Pteridines and derivatives,,,,,,1342231.8147692885,1344685.6444727718,1273362.3597579398,846187.0001736325,1041703.5683299665,1243325.6154964007,1255944.7572737886,1232304.9467846234,1211374.796941588,1338722.0408397873,1388143.8824863557,1171095.492673857,1695688.3336367784,1508098.895350149,1632791.9570130724
Limonenecarboxylic acid,181.12202,7.806,,,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,,,,,1414299.172406215,1682068.1581785074,1651905.5624152771,3220674.7223555744,3417149.9781112336,3048337.300533193,1564494.5522790984,1416655.0023319772,1256484.683388925,2357793.6892771632,2251808.4778858125,2137083.207837024,1429236.078769595,1301965.6089762624,1395388.6992541426
"1,4-Diethoxy-2-methyl benzene",181.12213,7.92,,,Benzenoids,Phenol ethers,,,,,,1077496.4407743912,822926.1108783513,986298.1437472574,2299700.3518968876,2649303.636186971,2438406.353916143,725960.9892409169,612729.4928149612,596414.7963441217,2473169.895477758,2453240.162637103,2593146.6898851413,929474.6386688653,852902.0135546646,919772.70977647
OMEGA-HYDROXYDODECANOATE,181.15863,8.056,HMDB0002059,C08317,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,,,,,1674500.8723450848,1608764.5803700488,1710684.094284866,1194714.2411483047,1361110.5690741842,1273141.0967775113,28467.079146713102,30342.736733771468,32634.118259515435,337788.2488856083,331980.69927534385,345730.38493904786,72305.49508746958,63230.27302503482,69032.07623749558
L-Tyrosine,182.08113,0.981,HMDB0000158,C00082,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",,,,,1738012.9862136012,1635915.66278805,1693261.0199983488,362099.23544058856,378442.1029017667,450431.9766576446,294846.93544070993,268056.22820521024,333153.0075540797,674099.4995171719,692420.5770764771,703036.5111063513,420058.2662941959,524447.343290311,467905.87051549315
Cis-Dihydrohomoanatoxin-A,182.15421,7.637,,,Organoheterocyclic compounds,Azepanes,,,,,,4179981.789556882,4095053.086841603,4080977.469601518,8802627.24537621,8776140.135612892,8370002.868010901,4815551.986124137,4730186.500892376,5986373.669983486,7335214.837470148,6547458.707785819,7197887.776744038,4071685.818226062,3537413.449074666,5001107.707699275
N-Ethyl trans-2-cis-6-nonadienamide,182.15425,8.435,HMDB0032273,C06551,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,,,,,14115217.242603855,13402934.06192161,15037687.735474534,11810645.792820266,12651983.302120643,11546459.975059094,11323972.124581255,9411891.287124809,10624939.438293926,16850231.46747794,14057781.868932633,15462260.933589429,11066831.72394965,11358035.04902109,11542658.067029256
HARMAN,183.0918,3.979,HMDB0035196,C09209,Alkaloids and derivatives,Harmala alkaloids,,,,,,4342838.099607752,4408095.872524279,4802965.629867971,1514120.1751514995,1523177.829286732,2094964.6045617685,2745308.2046934874,2104691.6213411153,2143462.8219653973,2504612.534486227,2679893.206602038,2615577.697911735,2455471.6284446684,2417935.529232225,2955973.6213231073
()-4-deoxy-8S-hydroxyphomapyrone C,183.10144,3.639,,,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,,,,,616558.3779518475,605226.0614763877,572760.7067717648,538328.9567091534,475408.4624305688,542704.8142602778,1774659.4990032357,1973524.4899101977,1612863.864086567,584229.8603649976,623393.2607420578,520560.72369294445,740528.5059820979,763334.8196168883,737485.1946010138
sl-1,184.06371,0.645,,,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids,,,,,104778123.58722234,114698195.71152978,110074774.5012479,13870723.621364083,17727144.97908963,17638011.249546282,15960956.462637,16317521.135903396,17016222.981459603,24298597.605076827,24528968.29439751,27429888.99052565,34781568.71917892,37923705.58652824,28626231.314292833
"6-hydroxy-2,6-dimethylocta-2,7-dienimidic acid",184.13338,7.902,,,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,,,,,1223383.2298579067,1032955.1961370994,1036843.7920049937,3600185.9645824186,3358261.3866542005,3936005.3087633825,683235.6362493712,698419.9201540857,644469.6061965431,2961818.226924542,3010386.1982878903,2812555.888787569,934876.0763332103,903006.6844282097,1055386.3868385805
"(6r,7s)-2-methyl-2-azaspiro[5.5]undecan-7-ol",184.16951,8.815,,,Organoheterocyclic compounds,Azaspirodecane derivatives,,,,,,16034353.197752072,12586208.30410162,14707643.49814631,15852653.637428772,16619904.8860005,15141957.766570725,13241832.891085763,13659675.409971615,14415466.338942636,16526503.566769762,13955544.761012431,13853572.69221781,14124447.167960558,16020494.33179448,14846074.130244963
"2,4,6-Trimethoxyphenol",185.08038,3.766,,,Benzenoids,Phenols,Methoxyphenols,,,,,63903.91467583128,74535.32131938664,60497.89761478206,125001.12541286294,133194.23582871814,143965.88395841897,345249.6254731705,299094.21665921126,291183.07136761834,91649.56413688333,101429.0876529722,93361.86175014448,84541.0452536527,79816.79487385758,90409.70163248977
N-Acetyl-D-galactosamine,186.07584,0.656,HMDB0000212,C01132,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,,,,,5119057.279306447,4912477.702060873,5975761.035632681,1068037.5517318205,1119956.65499899,1257284.2162691897,1242785.2918413235,1160441.254338902,1245278.3958197748,1254111.5061596145,1316449.4763790912,1307173.0504612941,1639476.4681772897,1727702.3540977053,1805421.5497250056
2-methyl-N-(2-phenylethyl)pyrrole,186.12759,4.445,,,Organoheterocyclic compounds,Pyrroles,Substituted pyrroles,,,,,925073.6049887923,917053.6104810575,834095.43163015,103774.5651383982,108319.4077712091,110113.2255903927,160052.73949943832,147177.41122552447,170637.42257503717,190492.85403135288,170736.34458307782,179773.3560855693,196820.93124768086,178506.2132097076,197444.21594261157
Trisodium 3-hydroxy-2-(phosphonatooxy)propanoate,186.98087,9.412,,,,,,,,,,251660446.80733874,280717472.7210369,284994126.27162445,294217164.82277125,287880459.2448178,287205538.0324109,268848416.8522073,278408957.52200097,306164845.22579175,292241152.8083303,249574206.17018136,350335186.3214884,305128024.1001355,228995634.34659708,316099791.95326763
cyclo(gly-glu),187.07539,5.264,,,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",,,,,5531335.75723349,6258700.847640233,6936119.743126279,1866219.1490192683,1513473.7783879084,1629450.3595928238,760868.0541894223,783098.9233287461,806487.2454818318,1122353.6462196775,1022958.3550353332,1139084.5907449892,1151099.8250016626,1174879.345588374,1227243.4044099636
"8-hydroxy-2,6-dimethyloct-2-enoic acid",187.13303,4.486,,,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,,,,,2211244.2152836146,3039330.503841981,2509767.365874404,1942479.1525083676,2052760.5296957938,1863311.718795838,1973556.4032074944,2009560.5642237742,2031822.4145687316,2878349.0362326987,2810807.7066666232,2583492.078100677,2041273.227374417,1896336.3573170316,2069983.358308551
"(1s,7s)-1-(2-hydroxyethyl)-7-(hydroxymethyl)-2-oxabicyclo[2.2.1]heptan-7-ol",189.11235,8.2,,,Organoheterocyclic compounds,Oxanes,,,,,,823227.6636172992,871243.4886569737,963079.5458257273,1400080.6748193975,1417949.5427175218,1404644.2894630807,756882.6996835624,657901.6857284326,752152.1695880049,1016322.1177930088,1072170.613720904,941351.910486087,1773363.9798006278,1638933.6596424587,1916168.5875569137
"4-epi-11-nor-aristola-1(10),11-diene",189.16367,6.875,,,Hydrocarbons,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,,,,,1722861.6253850681,1626295.3332833985,1713686.4843315333,24833.953633515106,22883.029770084817,23680.529416400077,48756.68058028005,48804.84571090041,58092.12058881953,50994.70064347319,35331.66983002625,52274.06947650057,32523.81527848241,32955.19271462759,39661.32216689001
"1,1,7-trimethyl-1ah,2h,3h,5h,6h,7bh-cyclopropa[a]naphthalene",189.16379,8.409,,,Hydrocarbons,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,,,,,216550.86557446167,187476.0375622101,247072.5636633283,9885677.237854568,9783619.032775845,9799674.881369581,11540640.75329246,9767675.7681867,8612076.08452084,13194362.045684248,12643156.093894556,14112129.100421196,9669914.857603367,9503791.582074996,8251701.56432164
